m_seller_2_s2_1090,b2,n_seller_2_s2_1437,m,b1,n,b3,m_seller_2_s2_2109,m_seller_2_s2_4130,m_seller_3_s3_2256,m_seller_5_s5_1523,n_seller_5_s5_1488,m_seller_5_s5_4375,n_seller_4_s4_214,n_seller_4_s4_3028
31.333333333333332,27,49.166666666666664,94,71,175,64,38.333333333333336,62.666666666666664,56.75,72.5,37.0,84.5,45.0,28.0
59.142857142857146,2,23.5,170,18,179,74,48.285714285714285,38.714285714285715,32.666666666666664,43.0,41.5,53.5,31.0,51.333333333333336
72.0,60,30.5,156,10,68,81,65.75,30.0,56.0,29.666666666666668,36.666666666666664,60.0,45.875,43.375
51.0,64,70.0,140,11,46,58,36.666666666666664,46.5,42.8,50.0,49.0,62.714285714285715,53.6,48.6
72.0,57,35.625,110,11,138,65,60.4,72.2,11.0,50.625,41.5,54.375,33.0,29.0
55.833333333333336,89,54.857142857142854,53,15,37,96,43.333333333333336,60.5,62.333333333333336,44.75,24.5,52.25,40.75,22.75
42.166666666666664,58,61.75,189,36,62,59,55.833333333333336,34.333333333333336,42.75,31.2,44.0,39.2,50.111111111111114,41.0
78.6,84,66.375,73,72,122,16,42.6,44.4,54.77777777777778,44.833333333333336,32.333333333333336,61.333333333333336,56.5,62.333333333333336
53.333333333333336,24,48.333333333333336,85,74,7,23,48.0,16.666666666666668,59.77777777777778,56.25,32.0,41.0,53.6,57.9
32.5,7,56.857142857142854,136,86,174,4,69.0,52.75,59.714285714285715,50.5,40.5,25.75,45.4,62.0
43.25,46,31.2,109,1,105,69,43.625,49.5,65.33333333333333,52.333333333333336,22.5,48.5,57.0,76.5
54.0,77,43.875,152,73,121,63,25.0,57.5,42.166666666666664,27.166666666666668,21.0,43.166666666666664,47.5,44.0
51.0,86,66.375,140,65,122,64,36.666666666666664,46.5,42.8,50.0,32.333333333333336,62.714285714285715,56.5,62.333333333333336
31.0,56,40.6,127,3,152,30,39.5,16.5,35.6,41.55555555555556,50.22222222222222,50.44444444444444,48.8,73.2
57.8,12,39.666666666666664,80,91,69,52,49.4,33.2,31.571428571428573,42.0,36.0,60.166666666666664,52.25,62.5
40.76923076923077,25,49.9,137,46,142,3,42.38461538461539,49.38461538461539,65.0,85.33333333333333,71.5,51.333333333333336,45.333333333333336,58.666666666666664
62.0,96,61.0,158,67,42,62,63.55555555555556,45.55555555555556,48.77777777777778,59.8,28.833333333333332,67.8,79.5,49.75
64.5,17,60.5,99,56,88,35,39.0,42.0,35.1,45.333333333333336,65.6,43.333333333333336,33.5,94.5
54.857142857142854,0,59.333333333333336,72,47,137,64,42.0,60.57142857142857,68.125,74.5,41.2,54.25,48.5,80.25
34.75,6,40.857142857142854,103,77,191,27,52.0,61.0,76.66666666666667,51.75,48.0,26.75,62.5,69.5
63.714285714285715,93,49.0,12,57,132,80,67.0,52.57142857142857,34.8,69.2,52.666666666666664,46.2,56.625,58.875
30.22222222222222,40,53.0,77,27,177,18,46.111111111111114,54.44444444444444,52.8,74.0,54.285714285714285,67.33333333333333,45.4,75.4
47.1,29,51.75,128,80,183,92,67.8,41.1,58.333333333333336,38.0,63.5,61.0,67.25,26.0
47.2,12,46.857142857142854,66,24,181,66,22.6,55.4,61.57142857142857,26.666666666666668,46.0,48.666666666666664,35.833333333333336,35.833333333333336
38.111111111111114,95,45.7,155,99,119,25,39.333333333333336,59.0,27.0,40.8,46.0,45.4,43.5,61.833333333333336
52.0,65,38.75,28,82,61,93,32.4,56.8,62.75,48.666666666666664,31.0,32.833333333333336,30.0,96.0
52.625,27,28.25,79,63,198,23,51.125,56.5,39.714285714285715,62.0,54.4,65.2,51.4,56.0
19.5,12,46.375,7,57,192,43,82.5,94.0,61.5,64.85714285714286,58.25,42.285714285714285,30.333333333333332,67.33333333333333
65.5,13,81.66666666666667,39,98,97,79,42.0,12.5,30.0,59.666666666666664,58.5,21.666666666666668,29.0,20.0
32.2,13,29.0,168,52,148,92,57.8,41.0,39.0,42.25,45.0,73.0,48.333333333333336,66.22222222222223
53.25,26,46.666666666666664,55,10,185,91,31.5,28.0,36.375,61.8,36.0,44.4,93.0,39.0
59.142857142857146,73,41.0,170,5,168,28,48.285714285714285,38.714285714285715,32.666666666666664,43.0,57.25,53.5,48.4,61.0
72.0,95,31.2,156,21,105,14,65.75,30.0,56.0,29.666666666666668,22.5,60.0,57.0,76.5
73.25,85,23.5,84,15,179,92,43.0,49.5,57.2,36.8,41.5,50.0,31.0,51.333333333333336
36.6,50,51.75,153,88,183,38,65.2,57.0,37.111111111111114,82.0,63.5,4.0,67.25,26.0
36.6,55,55.333333333333336,153,65,196,75,65.2,57.0,37.111111111111114,82.0,64.5,4.0,55.0,42.8
39.2,56,67.14285714285714,69,78,139,82,63.0,39.8,66.66666666666667,40.666666666666664,24.5,85.0,51.0,66.6
56.0,19,60.5,62,25,35,75,14.0,31.5,63.0,37.72727272727273,51.666666666666664,42.09090909090909,39.666666666666664,66.66666666666667
64.5,23,36.5,99,99,4,54,39.0,42.0,35.1,45.333333333333336,63.375,43.333333333333336,37.5,72.5
63.2,69,47.666666666666664,192,96,55,6,66.0,61.6,38.5,39.714285714285715,57.4,28.857142857142858,48.0,51.666666666666664
36.333333333333336,78,48.375,87,1,113,68,23.0,14.0,61.666666666666664,48.166666666666664,73.16666666666667,67.5,68.0,45.25
54.333333333333336,2,63.333333333333336,131,87,106,42,71.33333333333333,51.333333333333336,44.75,49.666666666666664,44.0,56.77777777777778,45.666666666666664,50.666666666666664
40.0,61,56.0,40,17,193,18,44.0,54.5,57.0,79.14285714285714,48.25,46.714285714285715,15.0,9.5
45.833333333333336,49,8.0,6,36,151,66,57.0,64.5,46.5,52.142857142857146,35.0,41.42857142857143,35.5,58.0
57.5,17,54.0,97,13,127,86,50.166666666666664,73.33333333333333,70.33333333333333,43.0,42.4,43.0,72.0,45.5
92.66666666666667,13,49.0,185,63,58,58,54.333333333333336,30.666666666666668,61.0,47.5,65.0,44.333333333333336,30.0,45.75
47.75,77,56.0,78,62,193,77,65.75,42.5,62.75,48.0,48.25,45.75,15.0,9.5
35.833333333333336,28,61.0,102,51,42,43,53.666666666666664,57.0,50.833333333333336,49.4,28.833333333333332,28.0,79.5,49.75
47.5,7,39.75,70,30,65,44,54.166666666666664,56.833333333333336,29.333333333333332,42.5,44.4,52.833333333333336,40.0,30.6
63.0,39,80.33333333333333,93,29,14,51,45.0,35.25,57.333333333333336,66.0,33.666666666666664,56.25,60.0,82.5
48.333333333333336,37,80.0,181,38,159,52,52.833333333333336,52.333333333333336,73.75,27.25,22.0,47.5,64.25,62.75
39.2,50,48.75,69,43,72,3,63.0,39.8,66.66666666666667,40.666666666666664,84.6,85.0,40.0,82.0
53.0,91,63.166666666666664,107,13,173,35,43.5,63.833333333333336,49.666666666666664,64.5,38.25,55.833333333333336,40.25,38.25
40.0,54,57.0,40,56,71,82,44.0,54.5,57.0,79.14285714285714,41.0,46.714285714285715,51.8,32.8
53.4,86,42.8,92,99,48,56,40.6,57.2,49.0,67.0,47.44444444444444,45.25,37.5,68.75
55.5,52,59.333333333333336,150,97,137,51,67.25,65.5,37.0,89.2,41.2,55.4,48.5,80.25
73.16666666666667,19,53.42857142857143,96,33,56,23,56.333333333333336,74.0,35.333333333333336,53.666666666666664,53.142857142857146,49.666666666666664,51.0,34.333333333333336
60.6,20,55.833333333333336,30,21,169,81,34.0,51.8,33.75,60.1,35.0,58.2,47.333333333333336,51.166666666666664
53.25,43,55.333333333333336,55,6,196,49,31.5,28.0,36.375,61.8,64.5,44.4,55.0,42.8
70.0,13,57.333333333333336,22,76,190,76,4.0,86.0,60.25,53.333333333333336,51.333333333333336,13.0,75.71428571428571,42.285714285714285
53.25,74,57.0,55,43,71,71,31.5,28.0,36.375,61.8,41.0,44.4,51.8,32.8
42.166666666666664,38,55.333333333333336,189,71,111,10,55.833333333333336,34.333333333333336,42.75,31.2,42.0,39.2,45.0,62.0
35.0,1,30.666666666666668,57,35,147,49,20.0,48.75,53.25,51.333333333333336,31.5,56.333333333333336,57.0,59.0
9.0,75,51.4,49,35,114,32,47.0,71.0,45.833333333333336,22.0,73.5,55.333333333333336,61.8,42.8
58.5,97,36.125,164,65,5,93,47.75,39.0,38.833333333333336,46.333333333333336,54.125,32.666666666666664,59.75,85.5
43.72727272727273,29,40.0,190,47,153,75,54.27272727272727,51.18181818181818,42.0,92.0,54.125,77.0,65.33333333333333,57.333333333333336
91.0,38,40.857142857142854,182,19,191,72,48.0,82.0,40.42857142857143,76.4,48.0,51.0,62.5,69.5
35.833333333333336,93,30.5,102,62,68,26,53.666666666666664,57.0,50.833333333333336,49.4,36.666666666666664,28.0,45.875,43.375
30.5,86,41.44444444444444,147,65,110,0,32.5,54.0,61.5,33.4,49.0,51.0,71.0,37.0
56.285714285714285,48,39.77777777777778,19,52,158,38,38.42857142857143,50.0,90.0,26.25,32.833333333333336,24.75,68.66666666666667,61.333333333333336
49.888888888888886,2,87.5,90,41,60,83,50.111111111111114,51.111111111111114,58.0,85.33333333333333,40.0,12.333333333333334,54.285714285714285,49.0
65.5,18,49.25,180,12,29,25,59.0,48.75,50.5,62.833333333333336,50.75,69.16666666666667,55.333333333333336,49.333333333333336
49.0,44,39.0,88,48,85,56,59.5,46.25,47.875,60.666666666666664,54.333333333333336,55.666666666666664,81.25,57.5
62.857142857142854,24,53.2,36,9,163,38,40.714285714285715,46.57142857142857,39.0,40.714285714285715,42.25,55.857142857142854,33.5,58.25
55.8,44,49.0,95,96,132,67,49.2,40.4,57.0,34.333333333333336,52.666666666666664,54.666666666666664,56.625,58.875
30.22222222222222,70,53.833333333333336,77,65,195,51,46.111111111111114,54.44444444444444,52.8,74.0,49.8,67.33333333333333,39.0,43.666666666666664
63.714285714285715,68,21.0,12,55,101,56,67.0,52.57142857142857,34.8,69.2,52.833333333333336,46.2,61.2,52.8
47.0,41,63.333333333333336,64,0,106,22,53.4,64.7,47.625,61.75,44.0,47.5,45.666666666666664,50.666666666666664
53.8,89,48.375,0,93,113,75,45.0,65.8,71.33333333333333,39.0,73.16666666666667,50.75,68.0,45.25
49.888888888888886,14,57.0,90,92,71,8,50.111111111111114,51.111111111111114,58.0,85.33333333333333,41.0,12.333333333333334,51.8,32.8
54.333333333333336,81,28.25,131,29,198,77,71.33333333333333,51.333333333333336,44.75,49.666666666666664,54.4,56.77777777777778,51.4,56.0
21.0,21,52.166666666666664,174,86,3,88,50.0,41.666666666666664,17.75,58.125,40.5,49.375,58.5,45.25
33.25,43,46.375,75,89,192,35,40.0,69.0,39.2,46.142857142857146,58.25,35.714285714285715,30.333333333333332,67.33333333333333
68.0,84,39.75,130,23,65,91,42.5,44.75,47.666666666666664,63.5,44.4,41.0,40.0,30.6
40.0,87,39.75,167,45,115,66,66.83333333333333,30.5,54.25,42.166666666666664,66.85714285714286,66.66666666666667,35.666666666666664,52.166666666666664
38.44444444444444,91,60.25,132,39,134,7,74.55555555555556,49.0,40.333333333333336,63.0,53.0,52.6,59.2,40.2
38.333333333333336,43,39.77777777777778,142,84,158,88,31.666666666666668,63.0,55.75,62.0,32.833333333333336,39.25,68.66666666666667,61.333333333333336
75.0,99,87.5,71,71,60,4,58.5,28.5,42.0,61.5,40.0,66.625,54.285714285714285,49.0
57.5,78,80.0,97,66,159,20,50.166666666666664,73.33333333333333,70.33333333333333,43.0,22.0,43.0,64.25,62.75
53.333333333333336,8,53.666666666666664,85,61,41,47,48.0,16.666666666666668,59.77777777777778,56.25,46.5,41.0,24.2,51.8
60.666666666666664,92,71.0,25,2,108,78,51.333333333333336,38.666666666666664,27.6,37.333333333333336,55.0,21.666666666666668,67.6,58.4
50.666666666666664,92,53.0,65,59,177,41,39.833333333333336,52.833333333333336,60.333333333333336,50.666666666666664,54.285714285714285,65.33333333333333,45.4,75.4
21.8,51,57.714285714285715,47,90,194,91,54.6,38.2,54.0,30.714285714285715,38.166666666666664,60.42857142857143,66.66666666666667,66.33333333333333
53.833333333333336,70,57.714285714285715,52,53,194,3,34.5,49.5,63.75,40.25,38.166666666666664,57.25,66.66666666666667,66.33333333333333
37.0,10,58.5,91,58,96,35,54.5,48.0,57.5,41.0,46.0,54.0,62.666666666666664,38.833333333333336
72.0,57,53.2,110,65,163,86,60.4,72.2,11.0,50.625,42.25,54.375,33.5,58.25
43.4,26,61.75,186,56,62,4,37.8,75.2,25.833333333333332,47.857142857142854,44.0,64.42857142857143,50.111111111111114,41.0
31.333333333333332,3,21.0,94,12,101,19,38.333333333333336,62.666666666666664,56.75,72.5,52.833333333333336,84.5,61.2,52.8
53.57142857142857,34,49.0,166,57,117,99,47.285714285714285,72.14285714285714,43.285714285714285,46.42857142857143,55.55555555555556,52.57142857142857,58.4,59.6
28.0,56,25.4,58,79,63,65,78.0,42.0,0.0,48.0,42.3,35.0,20.4,41.2
54.125,23,33.25,3,27,120,48,39.0,40.5,16.666666666666668,41.5,20.666666666666668,28.75,67.0,32.666666666666664
29.75,46,33.25,197,45,120,76,47.5,41.75,49.0,50.833333333333336,20.666666666666668,45.0,67.0,32.666666666666664
68.0,66,66.4,2,47,116,74,24.75,80.75,30.428571428571427,24.0,50.166666666666664,73.75,44.5,38.5
69.0,83,34.0,38,85,186,29,52.0,79.0,52.2,56.833333333333336,42.666666666666664,52.166666666666664,72.33333333333333,28.333333333333332
46.0,9,48.333333333333336,154,67,7,71,53.0,26.0,56.77777777777778,44.125,32.0,37.125,53.6,57.9
53.4,80,34.0,92,78,186,92,40.6,57.2,49.0,67.0,42.666666666666664,45.25,72.33333333333333,28.333333333333332
38.333333333333336,52,23.5,142,54,179,71,31.666666666666668,63.0,55.75,62.0,41.5,39.25,31.0,51.333333333333336
53.0,10,54.0,107,70,127,15,43.5,63.833333333333336,49.666666666666664,64.5,42.4,55.833333333333336,72.0,45.5
59.142857142857146,30,59.5,170,87,36,87,48.285714285714285,38.714285714285715,32.666666666666664,43.0,75.5,53.5,38.44444444444444,51.888888888888886
60.5,26,28.25,138,73,198,81,62.166666666666664,57.333333333333336,49.666666666666664,26.333333333333332,54.4,76.66666666666667,51.4,56.0
42.75,83,37.2,89,10,124,15,60.75,53.0,62.0,66.25,66.0,34.25,46.0,54.875
60.6,4,39.666666666666664,30,67,69,96,34.0,51.8,33.75,60.1,36.0,58.2,52.25,62.5
58.2,65,61.75,104,9,62,70,61.0,27.4,23.75,64.8,44.0,66.4,50.111111111111114,41.0
73.66666666666667,64,59.5,67,72,36,44,50.333333333333336,18.333333333333332,66.83333333333333,34.6,75.5,29.8,38.44444444444444,51.888888888888886
69.5,20,36.5,177,45,4,76,47.5,30.25,45.8,24.75,63.375,84.75,37.5,72.5
21.8,64,40.6,47,22,152,93,54.6,38.2,54.0,30.714285714285715,50.22222222222222,60.42857142857143,48.8,73.2
22.8,52,43.25,5,6,53,35,50.6,26.8,48.0,59.375,44.6,51.0,50.5,50.75
63.8,28,61.0,13,42,42,31,46.6,65.2,65.0,39.0,28.833333333333332,51.2,79.5,49.75
60.57142857142857,74,45.7,196,80,119,93,72.42857142857143,53.57142857142857,49.35364109825687,49.888888888888886,46.0,54.333333333333336,43.5,61.833333333333336
47.5,69,57.4,70,48,17,79,54.166666666666664,56.833333333333336,29.333333333333332,42.5,49.857142857142854,52.833333333333336,48.75,45.75
47.25,61,52.0,105,67,172,25,48.0,22.5,33.0,44.55555555555556,67.5,57.888888888888886,40.333333333333336,69.0
9.0,61,50.333333333333336,49,98,145,63,47.0,71.0,45.833333333333336,22.0,79.0,55.333333333333336,53.0,52.4
35.857142857142854,33,54.0,113,39,127,54,31.857142857142858,38.714285714285715,74.0,52.333333333333336,42.4,63.333333333333336,72.0,45.5
38.111111111111114,99,59.0,155,98,99,78,39.333333333333336,59.0,27.0,40.8,62.3,45.4,34.75,49.75
69.375,63,39.0,116,83,82,0,47.5,42.5,39.75,65.0,52.0,38.333333333333336,60.333333333333336,52.833333333333336
41.6,89,39.0,191,61,154,3,43.4,47.2,42.2,45.5,18.5,11.0,28.0,36.0
35.833333333333336,96,60.5,102,94,88,71,53.666666666666664,57.0,50.833333333333336,49.4,65.6,28.0,33.5,94.5
54.125,50,36.0,3,61,102,18,39.0,40.5,16.666666666666668,41.5,38.0,28.75,52.0,67.5
47.5,83,39.77777777777778,70,4,158,14,54.166666666666664,56.833333333333336,29.333333333333332,42.5,32.833333333333336,52.833333333333336,68.66666666666667,61.333333333333336
22.8,78,34.25,5,68,25,69,50.6,26.8,48.0,59.375,45.666666666666664,51.0,40.625,51.0
46.5,80,54.666666666666664,173,87,80,40,40.0,61.0,49.125,7.0,56.285714285714285,5.0,45.5,44.25
58.666666666666664,74,76.0,23,8,2,50,78.0,28.333333333333332,57.09090909090909,68.83333333333333,46.333333333333336,42.0,56.8,71.0
14.333333333333334,62,40.6,51,18,152,65,73.0,68.66666666666667,49.35364109825687,38.5,50.22222222222222,45.25,48.8,73.2
40.75,23,61.0,135,25,42,42,36.25,41.0,57.833333333333336,71.33333333333333,28.833333333333332,42.0,79.5,49.75
46.75,5,53.833333333333336,4,67,195,32,61.125,41.25,73.5,39.333333333333336,49.8,48.666666666666664,39.0,43.666666666666664
68.0,19,48.125,2,40,47,84,24.75,80.75,30.428571428571427,24.0,56.0,73.75,32.5,48.0
64.5,51,45.7,99,98,119,28,39.0,42.0,35.1,45.333333333333336,46.0,43.333333333333336,43.5,61.833333333333336
41.333333333333336,85,62.6,133,36,133,73,45.0,45.666666666666664,42.1,30.5,58.333333333333336,78.5,44.77777777777778,42.77777777777778
65.5,20,49.25,180,18,29,47,59.0,48.75,50.5,62.833333333333336,50.75,69.16666666666667,55.333333333333336,49.333333333333336
67.2,42,24.0,54,73,8,22,53.0,52.6,66.66666666666667,35.0,40.0,51.6,37.0,33.0
21.0,11,50.333333333333336,174,8,145,85,50.0,41.666666666666664,17.75,58.125,79.0,49.375,53.0,52.4
48.666666666666664,71,36.42857142857143,9,72,112,81,51.55555555555556,44.77777777777778,48.5,36.0,19.75,11.5,22.5,83.5
53.57142857142857,14,61.25,166,5,16,36,47.285714285714285,72.14285714285714,43.285714285714285,46.42857142857143,55.285714285714285,52.57142857142857,57.8,45.9
65.0,87,54.857142857142854,115,19,37,34,44.833333333333336,64.5,36.142857142857146,36.25,24.5,38.25,40.75,22.75
19.5,34,66.375,7,95,122,59,82.5,94.0,61.5,64.85714285714286,32.333333333333336,42.285714285714285,56.5,62.333333333333336
38.5,91,61.25,160,83,16,0,57.0,70.0,49.0,55.333333333333336,55.285714285714285,45.0,57.8,45.9
46.0,22,83.33333333333333,154,68,28,19,53.0,26.0,56.77777777777778,44.125,40.666666666666664,37.125,56.333333333333336,70.0
60.5,52,34.0,138,63,186,51,62.166666666666664,57.333333333333336,49.666666666666664,26.333333333333332,42.666666666666664,76.66666666666667,72.33333333333333,28.333333333333332
12.5,18,88.0,16,0,77,86,96.0,12.5,49.166666666666664,46.5,37.333333333333336,61.333333333333336,64.0,37.5
15.0,7,58.5,141,40,96,69,94.0,12.0,40.0,40.4,46.0,44.0,62.666666666666664,38.833333333333336
30.571428571428573,70,49.9,43,91,142,42,23.571428571428573,44.0,57.833333333333336,61.6,71.5,55.8,45.333333333333336,58.666666666666664
37.5,91,53.666666666666664,83,31,41,75,46.666666666666664,36.333333333333336,47.0,43.333333333333336,46.5,51.0,24.2,51.8
32.666666666666664,54,34.0,175,78,186,72,42.333333333333336,66.0,61.0,55.55555555555556,42.666666666666664,48.0,72.33333333333333,28.333333333333332
42.166666666666664,11,65.57142857142857,189,83,156,16,55.833333333333336,34.333333333333336,42.75,31.2,64.0,39.2,38.0,52.0
53.0,21,11.0,10,73,84,72,47.0,33.2,41.5,52.0,39.125,44.333333333333336,47.625,52.375
54.0,80,36.5,152,88,4,6,25.0,57.5,42.166666666666664,27.166666666666668,63.375,43.166666666666664,37.5,72.5
38.5,11,60.0,160,80,19,4,57.0,70.0,49.0,55.333333333333336,40.666666666666664,45.0,39.666666666666664,9.666666666666666
31.0,16,16.666666666666668,127,46,79,22,39.5,16.5,35.6,41.55555555555556,35.6,50.44444444444444,53.5,48.75
21.8,81,61.25,47,69,16,75,54.6,38.2,54.0,30.714285714285715,55.285714285714285,60.42857142857143,57.8,45.9
56.5,44,51.4,195,21,114,16,56.75,61.75,54.0,65.0,73.5,47.333333333333336,61.8,42.8
55.42857142857143,34,83.33333333333333,145,10,28,26,38.142857142857146,38.142857142857146,78.875,37.5,40.666666666666664,92.0,56.333333333333336,70.0
57.666666666666664,77,80.33333333333333,74,54,14,81,52.0,34.333333333333336,76.0,50.166666666666664,33.666666666666664,51.5,60.0,82.5
30.571428571428573,83,63.25,43,52,18,6,23.571428571428573,44.0,57.833333333333336,61.6,46.857142857142854,55.8,41.666666666666664,54.77777777777778
60.6,80,67.14285714285714,30,59,139,89,34.0,51.8,33.75,60.1,24.5,58.2,51.0,66.6
56.5,59,55.5,34,80,43,66,60.0,29.0,54.0,52.0,41.25,34.0,51.57142857142857,49.857142857142854
92.66666666666667,75,30.666666666666668,185,19,147,16,54.333333333333336,30.666666666666668,61.0,47.5,31.5,44.333333333333336,57.0,59.0
15.0,5,47.0,141,96,44,6,94.0,12.0,40.0,40.4,72.5,44.0,45.4,79.4
42.166666666666664,52,41.0,189,98,168,27,55.833333333333336,34.333333333333336,42.75,31.2,57.25,39.2,48.4,61.0
43.2,59,11.0,26,55,84,13,57.4,53.6,50.25,16.333333333333332,39.125,4.333333333333333,47.625,52.375
59.4,98,53.2,15,23,163,81,66.6,54.4,58.8,66.75,42.25,37.25,33.5,58.25
40.166666666666664,97,61.75,157,57,62,51,39.166666666666664,79.16666666666667,42.5,46.333333333333336,44.0,44.833333333333336,50.111111111111114,41.0
44.333333333333336,61,53.4,11,49,155,6,52.0,56.166666666666664,66.88888888888889,31.8,73.4,53.4,42.5,38.166666666666664
67.4,67,88.0,193,80,77,94,52.4,64.8,34.57142857142857,36.5,37.333333333333336,57.5,64.0,37.5
36.6,98,44.875,153,83,100,40,65.2,57.0,37.111111111111114,82.0,44.0,4.0,45.125,36.875
51.0,21,64.2,140,32,161,35,36.666666666666664,46.5,42.8,50.0,19.0,62.714285714285715,53.81818181818182,47.90909090909091
29.75,90,34.0,197,67,21,50,47.5,41.75,49.0,50.833333333333336,59.5,45.0,50.8,75.8
53.0,23,45.75,10,40,162,39,47.0,33.2,41.5,52.0,49.5,44.333333333333336,38.75,27.75
46.5,8,80.33333333333333,173,96,14,5,40.0,61.0,49.125,7.0,33.666666666666664,5.0,60.0,82.5
53.375,82,55.5,81,96,43,97,62.875,64.5,63.0,40.666666666666664,41.25,68.16666666666667,51.57142857142857,49.857142857142854
63.0,18,35.8,93,9,130,76,45.0,35.25,57.333333333333336,66.0,42.75,56.25,48.0,40.285714285714285
37.5,53,48.77777777777778,83,58,104,83,46.666666666666664,36.333333333333336,47.0,43.333333333333336,27.2,51.0,66.0,56.4
65.83333333333333,30,47.6,42,67,128,32,45.166666666666664,64.83333333333333,42.714285714285715,25.4,53.75,38.6,32.8,51.8
35.57142857142857,24,63.0,122,97,75,85,41.42857142857143,35.0,50.5,54.333333333333336,65.5,51.333333333333336,52.666666666666664,46.833333333333336
30.5,16,52.2,147,49,157,57,32.5,54.0,61.5,33.4,58.9,51.0,53.5,40.666666666666664
43.25,41,60.5,109,22,88,7,43.625,49.5,65.33333333333333,52.333333333333336,65.6,48.5,33.5,94.5
38.44444444444444,5,36.125,132,53,5,74,74.55555555555556,49.0,40.333333333333336,63.0,54.125,52.6,59.75,85.5
50.666666666666664,57,64.2,65,26,161,80,39.833333333333336,52.833333333333336,60.333333333333336,50.666666666666664,19.0,65.33333333333333,53.81818181818182,47.90909090909091
43.5,86,27.0,123,86,135,26,38.125,43.25,56.75,46.25,44.8,51.25,39.55555555555556,48.0
91.0,75,37.333333333333336,182,95,70,2,48.0,82.0,40.42857142857143,76.4,31.5,51.0,59.666666666666664,58.666666666666664
57.666666666666664,74,26.25,74,40,34,56,52.0,34.333333333333336,76.0,50.166666666666664,48.2,51.5,39.42857142857143,29.428571428571427
64.5,56,48.77777777777778,99,31,104,83,39.0,42.0,35.1,45.333333333333336,27.2,43.333333333333336,66.0,56.4
29.0,41,45.75,198,64,162,7,48.0,46.666666666666664,46.8,79.2,49.5,40.6,38.75,27.75
39.5,86,39.0,56,4,85,21,48.5,20.0,35.0,46.75,54.333333333333336,27.75,81.25,57.5
66.75,22,97.0,21,51,176,30,65.0,68.25,46.5,85.5,34.625,54.666666666666664,51.6,40.8
42.166666666666664,68,52.166666666666664,189,72,3,46,55.833333333333336,34.333333333333336,42.75,31.2,40.5,39.2,58.5,45.25
46.75,67,55.4,4,28,91,25,61.125,41.25,73.5,39.333333333333336,69.0,48.666666666666664,48.75,31.0
60.6,28,16.666666666666668,30,56,79,32,34.0,51.8,33.75,60.1,35.6,58.2,53.5,48.75
